location,latitude,longitude,address
"Abomey, Benin",7.1820012,1.993632,"Abomey, Zou, Bénin"
"Abuja, Nigeria",9.0643305,7.4892974,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria"
"Accra, Ghana",5.5571096,-0.2012376,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana"
"Addis Ababa, Ethiopia",9.0358287,38.7524127,"አዲስ አበባ / Addis Ababa, Arada, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 3578, ኢትዮጵያ"
"Aden, Yemen",12.789585,45.028504,"مدينة عدن, محافظة عدن, اليمن"
"Agartala, India",23.8312377,91.2823821,"Agartala, Mohanpur, West Tripura, Tripura, 799001, India"
"Agra, India",27.1752554,78.0098161,"Agra, Uttar Pradesh, India"
"Ahilya Nagar, India",19.238013,76.2227154,"Ahilya Nagar, Majalgaon, Beed, Maharashtra, India"
"Ahmedabad, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India"
"Aizawl, India",23.7433532,92.7382756,"Aizawl, Tlangnuam, Aizawl, 796190, India"
"Akure, Nigeria",7.2525595,5.1932647,"Akure, Akure South, Ondo, 340021, Nigeria"
"Alameda, California",37.6090291,-121.899142,"Alameda County, California, United States"
"Albuquerque, New Mexico",35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
"Alibag, India",18.6498427,72.8765469,"Alibag, Alibag Taluka, Raigad, Maharashtra, 402200, India"
"Amapá, Brasil",1.3545442,-51.9161977,"Amapá, Região Norte, Brasil"
"Ambikapur, India",23.1226343,83.1981886,"امبیکاپور, Ambikapur Tahsil, Surguja, Chhattisgarh, India"
"Amman, Jordan",31.9515694,35.9239625,"عمان, ناحية عمان, لواء قصبة عمان, عمان, 11118, الأردن"
"Amsterdam, Netherlands",52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
"Anambra, Nigeria",6.2183136,6.9531842,"Anambra, Nigeria"
"Anand, India",22.5586555,72.9627227,"Anand, Anand City Taluka, Anand, Gujarat, 388001, India"
"Antananarivo, Madagascar",-18.9100122,47.5255809,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Arequipa, Peru",-16.3988667,-71.5369607,"Arequipa, Perú"
"Ariana, Tunisia",36.968573500000005,10.121985506329507,"ولاية أريانة, تونس"
"Arrah, India",25.560317,84.6632139,"Arrah, Bhojpur, Bihar, 802300, India"
"Arusha, Tanzania",-3.3696827,36.6880794,"Arusha, Arusha Municipal, Arusha, Northern Zone, 23103, Tanzania"
"Ashanti Region, Ghana",6.8003319,-1.5188142,"Ashanti Region, Ghana"
"Bagamoyo, Tanzania",-6.4422075,38.9062189,"Bagamoyo, Pwani, Coastal Zone, Tanzania"
"Bahia, Brazil",-12.285251,-41.9294776,"Bahia, Região Nordeste, Brasil"
Bahraich,27.734382250000003,81.47653998303304,"Bahraich, Uttar Pradesh, India"
"Bajo Baudó, Colombia",5.00181755,-77.15804531,"Bajo Baudó (Pizarro), Pacífico Sur, Chocó, RAP Pacífico, Colombia"
"Baku, Azerbaijan",40.3755885,49.8328009,"Bakı İnzibati Ərazisi, Azərbaycan"
"Balasore, India",21.5006421,86.919884,"Balasore, Station Road, Baleshwar, Baleshwar (M), Baleshwar, Odisha, 756001, India"
"Bamako, Mali",12.649319,-8.000337,"Bamako, Mali"
"Bamenda, Cameroon",5.9614117,10.1516505,"Communauté urbaine de Bamenda, Mezam, Northwest, Cameroun"
"Banaskantha, India",24.26939205,72.16202462,"Banaskantha, Gujarat, India"
"Banda Aceh, Indonesia",5.5528455,95.3192908,"Banda Aceh, Aceh, Sumatera, Indonesia"
"Bangkok, Thailand",13.7524938,100.4935089,"กรุงเทพมหานคร, ประเทศไทย"
"Barcelona, Spain",41.3828939,2.1774322,"Barcelona, Barcelonès, Barcelona, Catalunya, España"
"Basel, Switzerland",47.5581077,7.5878261,"Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra"
"Bauchi, Nigeria",10.6228284,10.0287754,"Bauchi, Nigeria"
"Bedford, United Kingdom",52.1363806,-0.4675041,"Bedford, England, MK40 1SU, United Kingdom"
"Beijing, China",39.9042,116.4074,
"Belem, Brazil",-1.45056,-48.4682453,"Belém, Região Geográfica Imediata de Belém, Região Geográfica Intermediária de Belém, Pará, Região Norte, Brasil"
"Belo Horizonte, Brazil",-19.9227318,-43.9450948,"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
"Beloit, Wisconsin",42.5083272,-89.031784,"Beloit, Rock County, Wisconsin, United States"
"Bengaluru, India",12.98815675,77.62260004,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
"Benin City,  Nigeria",6.3330586,5.6221058,"Benin City, Oredo, Edo, 300241, Nigeria"
"Berekum, Ghana",7.450473,-2.5824981,"Berekum, Berekum East Municipal District, Bono Region, Ghana"
"Berlin, Germany",52.510885,13.3989367,"Berlin, Deutschland"
"Bharuch, India",21.7080427,72.9956936,"Bharuch, Bharuch Taluka, Bharuch, Gujarat, India"
"Bhopal, India",23.2584857,77.401989,"Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India"
"Bialystok, Poland",53.132398,23.1591679,"Białystok, województwo podlaskie, Polska"
"Bidar, India",18.02072965,77.24872035766641,"Bidar, Karnataka, India"
"Bikaner, India",28.0159286,73.3171367,"Bikaner, Bikaner Tehsil, Bikaner, Rajasthan, 334001, India"
"Bilaspur, India",22.1638486,82.13659231724193,"Bilaspur, Chhattisgarh, India"
"Biobío, Chile",-37.3391407,-72.4106825,"Región del Biobío, Chile"
"Blantyre, Malawi",-15.7862543,35.0035694,"Blantyre, Southern Region, Malawi"
