location,latitude,longitude,address
"Abuja, Nigeria",9.0643305,7.4892974,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria"
"Accra, Ghana",5.5571096,-0.2012376,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana"
"Accra, Ghana",5.5571096,-0.2012376,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana"
"Addis Ababa, Ethiopia",9.0358287,38.7524127,"አዲስ አበባ / Addis Ababa, Arada, አዲስ አበባ Addis Ababa أديس أبابا, አዲስ አበባ أديس أبابا, 3578, ኢትዮጵያ إثيوبيا"
"Aden, Yemen",12.789585,45.028504,"مدينة عدن, محافظة عدن, اليمن"
"Ahilya Nagar, India",19.238013,76.2227154,"Ahilya Nagar, Majalgaon, Beed, Maharashtra, India"
"Ahmedabad, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India"
"Aizawl, India",23.7433532,92.7382756,"Aizawl, Tlangnuam, Aizawl, 796190, India"
"Akure, Nigeria",7.2525595,5.1932647,"Akure, Akure South, Ondo, 340021, Nigeria"
"Alameda, California",37.6090291,-121.899142,"Alameda County, California, United States"
"Albuquerque, New Mexico",35.0841034,-106.650985,"Albuquerque, Bernalillo County, New Mexico, United States"
"Alibaug, India",18.662743335320354,72.87877327785249,"Alibaug Rewas Road, Alibag, Alibag Taluka, Raigad, Maharashtra, 402200, India"
"Alibaug, India",18.662743335320354,72.87877327785249,"Alibaug Rewas Road, Alibag, Alibag Taluka, Raigad, Maharashtra, 402200, India"
"Amap√°, Brazil",-14.68512635,-39.17277107,"Fazenda Bom Pastor, headquarter of AMAP, Rio do Braço, Zona Lava Pes, Rio do Braço, Ilhéus, Região Geográfica Imediata de Ilhéus – Itabuna, Região Geográfica Intermediária de Ilhéus-Itabuna, Bahia, Região Nordeste, Brasil"
"Ambikapur, India",23.1226343,83.1981886,"امبیکاپور, Ambikapur Tahsil, Surguja, Chhattisgarh, India"
"Amman, Jordan",31.9515694,35.9239625,"عمان, ناحية عمان, لواء قصبة عمان, عمان, 11118, الأردن"
"Amsterdam, Netherlands",52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
"Anambra, Nigeria",6.2183136,6.9531842,"Anambra, Nigeria"
"Anand, India",22.5586555,72.9627227,"Anand, Anand City Taluka, Anand, Gujarat, 388001, India"
"Antananarivo, Madagascar",-18.9100122,47.5255809,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Antananarivo, Madagascar",-18.9100122,47.5255809,"Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Arequipa, Peru",-16.3988667,-71.5369607,"Arequipa, Perú"
"Ariana, Tunisia",36.968573500000005,10.121985506329507,"ولاية أريانة, تونس"
"Arravali, India",,,
"Arusha, Tanzania",-3.3696827,36.6880794,"Arusha, Arusha Municipal, Arusha, Northern Zone, 23103, Tanzania"
"Ashanti, Ghana",6.8003319,-1.5188142,"Ashanti Region, Ghana"
"Bacoor, Philippines",14.458816,120.959579,"Bacoor, Cavite, Calabarzon, 4102, Pilipinas"
"Bagamoyo, Tanzania",-6.4422075,38.9062189,"Bagamoyo, Pwani, Coastal Zone, Tanzania"
Bahraich,27.734382250000003,81.47653998303304,"Bahraich, Uttar Pradesh, India"
"Bajo Baudó, Columbia",5.00181755,-77.15804531,"Bajo Baudó (Pizarro), Pacífico Sur, Chocó, RAP Pacífico, Colombia"
"Baku, Azerbaijan",40.3755885,49.8328009,"Bakı İnzibati Ərazisi, Azərbaycan"
"Balasore, India",21.5006421,86.919884,"Balasore, Station Road, Baleshwar, Baleshwar (M), Baleshwar, Odisha, 756001, India"
"Bamako, Mali",12.649319,-8.000337,"Bamako, Mali"
"Bamenda, Cameroon",5.9614117,10.1516505,"Communauté urbaine de Bamenda, Mezam, Northwest, Cameroun"
"Banaskantha, India",24.26939205,72.16202462,"Banaskantha, Gujarat, India"
"Banda Aceh, Indonesia",5.5528455,95.3192908,"Banda Aceh, Aceh, Sumatera, Indonesia"
"Bangalore, India",12.98815675,77.62260004,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
"Bangalore, India",12.98815675,77.62260004,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
"Bangalore, India",12.98815675,77.62260004,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
"Bangkok, Thailand",13.7524938,100.4935089,"กรุงเทพมหานคร, ประเทศไทย"
Bangladesh,24.4769288,90.2934413,বাংলাদেশ
